statefp10,countyfp10,tractce10,commarea,geoid10,name10,commarea_n,Community Area Name,namelsad10,Census Tract Match,Fixed Tract Match,block_group_code,MedianHHIncome,a_image_name
17,31,20601,2,17031020601,206.01,2,WEST RIDGE,206.01,206.01,20601,170310206012.00,29426,0
17,31,20602,2,17031020602,206.02,2,WEST RIDGE,206.02,206.02,20602,170310206022.00,65143,0
17,31,20302,2,17031020302,203.02,2,WEST RIDGE,203.02,203.02,20302,170310203022.00,101489,0
17,31,20902,2,17031020902,209.02,2,WEST RIDGE,209.02,209.02,20902,170310209021.00,38669,0
17,31,10701,1,17031010701,107.01,1,ROGERS PARK,107.01,107.01,10701,170310107011.00,47105,0
17,31,30103,77,17031030103,301.03,77,EDGEWATER,301.03,301.03,30103,170310301032.00,51066,p1s00552.jpg
17,31,30102,77,17031030102,301.02,77,EDGEWATER,301.02,301.02,30102,170310301023.00,52386,0
17,31,10502,1,17031010502,105.02,1,ROGERS PARK,105.02,105.02,10502,170310105021.00,45278,0
17,31,10503,1,17031010503,105.03,1,ROGERS PARK,105.03,105.03,10503,170310105032.00,26964,0
17,31,10702,1,17031010702,107.02,1,ROGERS PARK,107.02,107.02,10702,170310107024.00,37457,0
17,31,837100,27,17031837100,8371,27,EAST GARFIELD PARK,8371,8371,837100,170318371002.00,25833,p1s00447.jpg
17,31,837000,27,17031837000,8370,27,EAST GARFIELD PARK,8370,8370,837000,170318370001.00,12132,p1s00544.jpg
17,31,10201,1,17031010201,102.01,1,ROGERS PARK,102.01,102.01,10201,170310102013.00,52948,0
17,31,20901,2,17031020901,209.01,2,WEST RIDGE,209.01,209.01,20901,170310209011.00,45625,0
17,31,40401,4,17031040401,404.01,4,LINCOLN SQUARE,404.01,404.01,40401,170310404014.00,103594,p1s00454.jpg
17,31,210602,21,17031210602,2106.02,21,AVONDALE,2106.02,2106.02,210602,170312106021.00,87292,0
17,31,160501,16,17031160501,1605.01,16,IRVING PARK,1605.01,1605.01,160501,170311605012.00,61146,p1s00341.jpg
17,31,191302,19,17031191302,1913.02,19,BELMONT CRAGIN,1913.02,1913.02,191302,170311913022.00,56078,0
17,31,190602,19,17031190602,1906.02,19,BELMONT CRAGIN,1906.02,1906.02,190602,170311906023.00,54896,0
17,31,840200,60,17031840200,8402,60,BRIDGEPORT,8402,8402,840200,170318402001.00,61806,0
17,31,530501,53,17031530501,5305.01,53,WEST PULLMAN,5305.01,5305.01,530501,170315305013.00,NaN,0
17,31,831400,25,17031831400,8314,25,AUSTIN,8314,8314,831400,170318314002.00,33852,p1s00545.jpg
17,31,831300,25,17031831300,8313,25,AUSTIN,8313,8313,831300,170318313001.00,46333,p1s00546.jpg
17,31,833000,28,17031833000,8330,28,NEAR WEST SIDE,8330,8330,833000,170318330002.00,138650,0
17,31,760801,76,17031760801,7608.01,76,OHARE,7608.01,7608.01,760801,170317608012.00,54505,0
17,31,20701,2,17031020701,207.01,2,WEST RIDGE,207.01,207.01,20701,170310207012.00,106029,0
17,31,10501,1,17031010501,105.01,1,ROGERS PARK,105.01,105.01,10501,170310105013.00,22484,0
17,31,252101,25,17031252101,2521.01,25,AUSTIN,2521.01,2521.01,252101,170312521011.00,17000,0
17,31,252102,25,17031252102,2521.02,25,AUSTIN,2521.02,2521.02,252102,170312521023.00,26250,p1s00361.jpg
17,31,252202,25,17031252202,2522.02,25,AUSTIN,2522.02,2522.02,252202,170312522022.00,21250,0
17,31,220601,22,17031220601,2206.01,22,LOGAN SQUARE,2206.01,2206.01,220601,170312206011.00,80357,0
17,31,210502,21,17031210502,2105.02,21,AVONDALE,2105.02,2105.02,210502,170312105023.00,63295,0
17,31,220602,22,17031220602,2206.02,22,LOGAN SQUARE,2206.02,2206.02,220602,170312206021.00,58103,0
17,31,220901,22,17031220901,2209.01,22,LOGAN SQUARE,2209.01,2209.01,220901,170312209011.00,44375,0
17,31,220902,22,17031220902,2209.02,22,LOGAN SQUARE,2209.02,2209.02,220902,170312209022.00,58639,0
17,31,200401,20,17031200401,2004.01,20,HERMOSA,2004.01,2004.01,200401,170312004011.00,36490,p1s00340.jpg
17,31,200402,20,17031200402,2004.02,20,HERMOSA,2004.02,2004.02,200402,170312004023.00,62847,0
17,31,191301,19,17031191301,1913.01,19,BELMONT CRAGIN,1913.01,1913.01,191301,170311913013.00,67424,0
17,31,190601,19,17031190601,1906.01,19,BELMONT CRAGIN,1906.01,1906.01,190601,170311906012.00,60481,0
17,31,190701,19,17031190701,1907.01,19,BELMONT CRAGIN,1907.01,1907.01,190701,170311907012.00,42130,0
17,31,190702,19,17031190702,1907.02,19,BELMONT CRAGIN,1907.02,1907.02,190702,170311907021.00,44127,0
17,31,190401,19,17031190401,1904.01,19,BELMONT CRAGIN,1904.01,1904.01,190401,170311904012.00,61779,0
17,31,190402,19,17031190402,1904.02,19,BELMONT CRAGIN,1904.02,1904.02,190402,170311904021.00,47903,p1s00297.jpg
17,31,832100,6,17031832100,8321,6,LAKE VIEW,8321,8321,832100,170318321002.00,118625,p1s00298.jpg
17,31,843800,61,17031843800,8438,61,NEW CITY,8438,8438,843800,170318438001.00,44018,p1s00301.jpg
17,31,842800,58,17031842800,8428,58,BRIGHTON PARK,8428,8428,842800,170318428004.00,37581,p1s00303.jpg
17,31,980100,56,17031980100,9801,56,GARFIELD RIDGE,9801,9801,980100,170319801001.00,NaN,p1s00309.jpg
17,31,833300,28,17031833300,8333,28,NEAR WEST SIDE,8333,8333,833300,170318333001.00,56136,p1s00244.jpg
17,31,832900,28,17031832900,8329,28,NEAR WEST SIDE,8329,8329,832900,170318329001.00,55795,p1s00245.jpg
17,31,838000,28,17031838000,8380,28,NEAR WEST SIDE,8380,8380,838000,170318380002.00,15068,p1s00246.jpg
17,31,838100,28,17031838100,8381,28,NEAR WEST SIDE,8381,8381,838100,170318381002.00,25469,p1s00248.jpg
17,31,833100,28,17031833100,8331,28,NEAR WEST SIDE,8331,8331,833100,170318331003.00,94229,0
17,31,839100,32,17031839100,8391,32,LOOP,8391,8391,839100,170318391002.00,97837,0
17,31,30706,77,17031030706,307.06,77,EDGEWATER,307.06,307.06,30706,170310307061.00,40227,0
17,31,150401,15,17031150401,1504.01,15,PORTAGE PARK,1504.01,1504.01,150401,170311504014.00,83125,0
17,31,150501,15,17031150501,1505.01,15,PORTAGE PARK,1505.01,1505.01,150501,170311505012.00,97250,0
17,31,842900,28,17031842900,8429,28,NEAR WEST SIDE,8429,8429,842900,170318429002.00,38571,0
17,31,841900,28,17031841900,8419,28,NEAR WEST SIDE,8419,8419,841900,170318419001.00,110404,0
17,31,843000,29,17031843000,8430,29,NORTH LAWNDALE,8430,8430,843000,170318430001.00,16522,0
17,31,842100,23,17031842100,8421,23,HUMBOLDT PARK,8421,8421,842100,170318421002.00,42986,0
17,31,80201,8,17031080201,802.01,8,NEAR NORTH SIDE,802.01,802.01,80201,170310802012.00,89925,0
17,31,70101,7,17031070101,701.01,7,LINCOLN PARK,701.01,701.01,70101,170310701011.00,91414,0
17,31,63301,6,17031063301,633.01,6,LAKE VIEW,633.01,633.01,63301,170310633012.00,75750,0
17,31,63303,6,17031063303,633.03,6,LAKE VIEW,633.03,633.03,63303,170310633032.00,106771,0
17,31,81201,8,17031081201,812.01,8,NEAR NORTH SIDE,812.01,812.01,81201,170310812013.00,93659,0
17,31,81202,8,17031081202,812.02,8,NEAR NORTH SIDE,812.02,812.02,81202,170310812022.00,150179,0
17,31,40402,4,17031040402,404.02,4,LINCOLN SQUARE,404.02,404.02,40402,170310404022.00,65536,0
17,31,220702,22,17031220702,2207.02,22,LOGAN SQUARE,2207.02,2207.02,220702,170312207021.00,84583,0
17,31,842200,8,17031842200,8422,8,NEAR NORTH SIDE,8422,8422,842200,170318422001.00,86250,0
17,31,842300,24,17031842300,8423,24,WEST TOWN,8423,8423,842300,170318423001.00,145104,0
17,31,843700,5,17031843700,8437,5,NORTH CENTER,8437,8437,843700,170318437001.00,140417,0
17,31,835000,66,17031835000,8350,66,CHICAGO LAWN,8350,8350,835000,170318350001.00,20160,p1s00547.jpg
17,31,835100,63,17031835100,8351,63,GAGE PARK,8351,8351,835100,170318351002.00,38800,p1s00548.jpg
17,31,834700,68,17031834700,8347,68,ENGLEWOOD,8347,8347,834700,170318347003.00,19688,p1s00416.jpg
17,31,151001,15,17031151001,1510.01,15,PORTAGE PARK,1510.01,1510.01,151001,170311510011.00,66467,0
17,31,151002,15,17031151002,1510.02,15,PORTAGE PARK,1510.02,1510.02,151002,170311510021.00,62946,0
17,31,160602,16,17031160602,1606.02,16,IRVING PARK,1606.02,1606.02,160602,170311606022.00,72344,0
17,31,140601,14,17031140601,1406.01,14,ALBANY PARK,1406.01,1406.01,140601,170311406011.00,43988,0
17,31,140701,14,17031140701,1407.01,14,ALBANY PARK,1407.01,1407.01,140701,170311407011.00,76750,0
17,31,140602,14,17031140602,1406.02,14,ALBANY PARK,1406.02,1406.02,140602,170311406022.00,79667,0
17,31,140301,14,17031140301,1403.01,14,ALBANY PARK,1403.01,1403.01,140301,170311403011.00,57500,0
17,31,841800,69,17031841800,8418,69,GREATER GRAND CROSSING,8418,8418,841800,170318418002.00,31440,0
17,31,842500,69,17031842500,8425,69,GREATER GRAND CROSSING,8425,8425,842500,170318425001.00,11146,0
17,31,842600,61,17031842600,8426,61,NEW CITY,8426,8426,842600,170318426003.00,81875,0
17,31,843500,30,17031843500,8435,30,SOUTH LAWNDALE,8435,8435,843500,170318435001.00,29375,0
17,31,843400,29,17031843400,8434,29,NORTH LAWNDALE,8434,8434,843400,170318434001.00,29028,0
17,31,843200,31,17031843200,8432,31,LOWER WEST SIDE,8432,8432,843200,170318432002.00,38448,0
17,31,140302,14,17031140302,1403.02,14,ALBANY PARK,1403.02,1403.02,140302,170311403021.00,128542,0
17,31,110501,11,17031110501,1105.01,11,JEFFERSON PARK,1105.01,1105.01,110501,170311105014.00,NaN,0
17,31,110502,11,17031110502,1105.02,11,JEFFERSON PARK,1105.02,1105.02,110502,170311105022.00,71979,0
17,31,760802,76,17031760802,7608.02,76,OHARE,7608.02,7608.02,760802,170317608021.00,54177,0
17,31,150502,15,17031150502,1505.02,15,PORTAGE PARK,1505.02,1505.02,150502,170311505022.00,61987,0
17,31,843100,29,17031843100,8431,29,NORTH LAWNDALE,8431,8431,843100,170318431002.00,NaN,0
17,31,834300,45,17031834300,8343,45,AVALON PARK,8343,8343,834300,170318343004.00,61622,0
17,31,843900,42,17031843900,8439,42,WOODLAWN,8439,8439,843900,170318439003.00,34079,0
17,31,831200,20,17031831200,8312,20,HERMOSA,8312,8312,831200,170318312001.00,32955,0
17,31,831600,18,17031831600,8316,18,MONTCLARE,8316,8316,831600,170318316003.00,61417,p1s00268.jpg
17,31,831500,19,17031831500,8315,19,BELMONT CRAGIN,8315,8315,831500,170318315002.00,69464,p1s00271.jpg
17,31,831100,21,17031831100,8311,21,AVONDALE,8311,8311,831100,170318311003.00,52688,p1s00394.jpg
17,31,831700,15,17031831700,8317,15,PORTAGE PARK,8317,8317,831700,170318317001.00,62130,p1s00397.jpg
17,31,440202,44,17031440202,4402.02,44,CHATHAM,4402.02,4402.02,440202,170314402023.00,79655,p1s00398.jpg
17,31,440102,44,17031440102,4401.02,44,CHATHAM,4401.02,4401.02,440102,170314401024.00,20077,p1s00400.jpg
17,31,430102,43,17031430102,4301.02,43,SOUTH SHORE,4301.02,4301.02,430102,170314301022.00,39234,p1s00401.jpg
17,31,30702,77,17031030702,307.02,77,EDGEWATER,307.02,307.02,30702,170310307021.00,64792,0
17,31,30603,77,17031030603,306.03,77,EDGEWATER,306.03,306.03,30603,170310306031.00,37846,0
17,31,30701,77,17031030701,307.01,77,EDGEWATER,307.01,307.01,30701,170310307011.00,39464,0
17,31,840800,30,17031840800,8408,30,SOUTH LAWNDALE,8408,8408,840800,170318408002.00,34375,0
17,31,836300,41,17031836300,8363,41,HYDE PARK,8363,8363,836300,170318363001.00,57578,p1s00522.jpg
17,31,838300,8,17031838300,8383,8,NEAR NORTH SIDE,8383,8383,838300,170318383001.00,93393,0
17,31,839800,60,17031839800,8398,60,BRIDGEPORT,8398,8398,839800,170318398001.00,60313,0
17,31,836600,23,17031836600,8366,23,HUMBOLDT PARK,8366,8366,836600,170318366002.00,53500,0
17,31,730202,73,17031730202,7302.02,73,WASHINGTON HEIGHTS,7302.02,7302.02,730202,170317302023.00,57321,p1s00440.jpg
17,31,430101,43,17031430101,4301.01,43,SOUTH SHORE,4301.01,4301.01,430101,170314301011.00,NaN,p1s00444.jpg
17,31,63302,6,17031063302,633.02,6,LAKE VIEW,633.02,633.02,63302,170310633023.00,74554,p1s00426.jpg
17,31,836200,41,17031836200,8362,41,HYDE PARK,8362,8362,836200,170318362001.00,NaN,0
17,31,840100,60,17031840100,8401,60,BRIDGEPORT,8401,8401,840100,170318401001.00,55297,0
17,31,580502,58,17031580502,5805.02,58,BRIGHTON PARK,5805.02,5805.02,580502,170315805023.00,37627,0
17,31,841400,29,17031841400,8414,29,NORTH LAWNDALE,8414,8414,841400,170318414001.00,43024,0
17,31,81401,8,17031081401,814.01,8,NEAR NORTH SIDE,814.01,814.01,81401,170310814011.00,68500,0
17,31,81403,8,17031081403,814.03,8,NEAR NORTH SIDE,814.03,814.03,81403,170310814033.00,105168,0
17,31,30703,77,17031030703,307.03,77,EDGEWATER,307.03,307.03,30703,170310307032.00,14755,0
17,31,836000,38,17031836000,8360,38,GRAND BOULEVARD,8360,8360,836000,170318360001.00,54250,0
17,31,835800,38,17031835800,8358,38,GRAND BOULEVARD,8358,8358,835800,170318358001.00,66944,p1s00421.jpg
17,31,835900,38,17031835900,8359,38,GRAND BOULEVARD,8359,8359,835900,170318359002.00,48882,p1s00422.jpg
17,31,834500,40,17031834500,8345,40,WASHINGTON PARK,8345,8345,834500,170318345001.00,32756,p1s00521.jpg
17,31,843600,38,17031843600,8436,38,GRAND BOULEVARD,8436,8436,843600,170318436002.00,50272,p1s00524.jpg
17,31,834600,68,17031834600,8346,68,ENGLEWOOD,8346,8346,834600,170318346001.00,NaN,p1s00525.jpg
17,31,831800,13,17031831800,8318,13,NORTH PARK,8318,8318,831800,170318318004.00,48355,p1s00528.jpg
17,31,832600,7,17031832600,8326,7,LINCOLN PARK,8326,8326,832600,170318326003.00,157917,0
17,31,61901,6,17031061901,619.01,6,LAKE VIEW,619.01,619.01,61901,170310619011.00,64286,0
17,31,770602,76,17031770602,7706.02,76,OHARE,7706.02,7706.02,770602,170317706023.00,108688,0
17,31,839700,60,17031839700,8397,60,BRIDGEPORT,8397,8397,839700,170318397003.00,48438,0
17,31,839900,60,17031839900,8399,60,BRIDGEPORT,8399,8399,839900,170318399004.00,NaN,0
17,31,835200,56,17031835200,8352,56,GARFIELD RIDGE,8352,8352,835200,170318352001.00,50900,0
17,31,838800,51,17031838800,8388,51,SOUTH DEERING,8388,8388,838800,170318388002.00,25244,0
17,31,833900,46,17031833900,8339,46,SOUTH CHICAGO,8339,8339,833900,170318339001.00,40483,0
17,31,836800,27,17031836800,8368,27,EAST GARFIELD PARK,8368,8368,836800,170318368002.00,9490,p1s00431.jpg
17,31,836700,23,17031836700,8367,23,HUMBOLDT PARK,8367,8367,836700,170318367002.00,38404,p1s00433.jpg
17,31,832200,22,17031832200,8322,22,LOGAN SQUARE,8322,8322,832200,170318322003.00,108750,p1s00434.jpg
17,31,831000,22,17031831000,8310,22,LOGAN SQUARE,8310,8310,831000,170318310001.00,163566,p1s00436.jpg
17,31,832400,22,17031832400,8324,22,LOGAN SQUARE,8324,8324,832400,170318324001.00,93281,p1s00437.jpg
17,31,770902,76,17031770902,7709.02,76,OHARE,7709.02,7709.02,770902,170317709021.00,79205,p1s00439.jpg
17,31,660301,66,17031660301,6603.01,66,CHICAGO LAWN,6603.01,6603.01,660301,170316603011.00,24230,p1s00442.jpg
17,31,660302,66,17031660302,6603.02,66,CHICAGO LAWN,6603.02,6603.02,660302,170316603021.00,24451,p1s00443.jpg
17,31,252201,25,17031252201,2522.01,25,AUSTIN,2522.01,2522.01,252201,170312522012.00,30625,p1s00424.jpg
17,31,70103,7,17031070103,701.03,7,LINCOLN PARK,701.03,701.03,70103,170310701031.00,70214,p1s00428.jpg
17,31,220701,22,17031220701,2207.01,22,LOGAN SQUARE,2207.01,2207.01,220701,170312207011.00,76406,p1s00430.jpg
17,31,834000,49,17031834000,8340,49,ROSELAND,8340,8340,834000,170318340001.00,40900,0
17,31,834200,43,17031834200,8342,43,SOUTH SHORE,8342,8342,834200,170318342003.00,53149,0
17,31,835500,37,17031835500,8355,37,FULLER PARK,8355,8355,835500,170318355001.00,14583,0
17,31,839500,35,17031839500,8395,35,DOUGLAS,8395,8395,839500,170318395001.00,19950,0
17,31,839200,35,17031839200,8392,35,DOUGLAS,8392,8392,839200,170318392002.00,46688,0
17,31,840400,59,17031840400,8404,59,MCKINLEY PARK,8404,8404,840400,170318404002.00,36583,0
17,31,841000,33,17031841000,8410,33,NEAR SOUTH SIDE,8410,8410,841000,170318410001.00,98320,0
17,31,301802,30,17031301802,3018.02,30,SOUTH LAWNDALE,3018.02,3018.02,301802,170313018021.00,40789,p1s00267.jpg
17,31,730201,73,17031730201,7302.01,73,WASHINGTON HEIGHTS,7302.01,7302.01,730201,170317302014.00,18913,0
17,31,580501,58,17031580501,5805.01,58,BRIGHTON PARK,5805.01,5805.01,580501,170315805011.00,28401,0
17,31,700302,70,17031700302,7003.02,70,ASHBURN,7003.02,7003.02,700302,170317003022.00,72125,0
17,31,700402,70,17031700402,7004.02,70,ASHBURN,7004.02,7004.02,700402,170317004021.00,34702,0
17,31,700401,70,17031700401,7004.01,70,ASHBURN,7004.01,7004.01,700401,170317004014.00,81406,0
17,31,830500,30,17031830500,8305,30,SOUTH LAWNDALE,8305,8305,830500,170318305001.00,30610,0
17,31,841700,30,17031841700,8417,30,SOUTH LAWNDALE,8417,8417,841700,170318417001.00,18810,0
17,31,841600,29,17031841600,8416,29,NORTH LAWNDALE,8416,8416,841600,170318416001.00,24848,0
17,31,840700,30,17031840700,8407,30,SOUTH LAWNDALE,8407,8407,840700,170318407001.00,45883,0
17,31,841300,31,17031841300,8413,31,LOWER WEST SIDE,8413,8413,841300,170318413002.00,43467,0
17,31,301801,30,17031301801,3018.01,30,SOUTH LAWNDALE,3018.01,3018.01,301801,170313018011.00,36292,0
17,31,530502,53,17031530502,5305.02,53,WEST PULLMAN,5305.02,5305.02,530502,170315305021.00,54883,p1s00404.jpg
17,31,71400,7,17031071400,714,7,LINCOLN PARK,714,714,71400,170310714003.00,105455,0
17,31,71600,7,17031071600,716,7,LINCOLN PARK,716,716,71600,170310716001.00,147031,0
17,31,832300,22,17031832300,8323,22,LOGAN SQUARE,8323,8323,832300,170318323001.00,120052,0
17,31,832500,7,17031832500,8325,7,LINCOLN PARK,8325,8325,832500,170318325002.00,156000,0
17,31,832000,6,17031832000,8320,6,LAKE VIEW,8320,8320,832000,170318320001.00,121500,0
17,31,30104,77,17031030104,301.04,77,EDGEWATER,301.04,301.04,30104,170310301042.00,31136,0
17,31,30101,77,17031030101,301.01,77,EDGEWATER,301.01,301.01,30101,170310301011.00,51010,0
17,31,160601,16,17031160601,1606.01,16,IRVING PARK,1606.01,1606.01,160601,170311606012.00,80000,0
17,31,210501,21,17031210501,2105.01,21,AVONDALE,2105.01,2105.01,210501,170312105011.00,59659,0
17,31,210601,21,17031210601,2106.01,21,AVONDALE,2106.01,2106.01,210601,170312106012.00,73421,0
17,31,700502,70,17031700502,7005.02,70,ASHBURN,7005.02,7005.02,700502,170317005022.00,78795,0
17,31,836100,40,17031836100,8361,40,WASHINGTON PARK,8361,8361,836100,170318361001.00,27049,0
17,31,835700,38,17031835700,8357,38,GRAND BOULEVARD,8357,8357,835700,170318357001.00,49880,0
17,31,836400,36,17031836400,8364,36,OAKLAND,8364,8364,836400,170318364001.00,27228,0
17,31,836500,36,17031836500,8365,36,OAKLAND,8365,8365,836500,170318365002.00,NaN,0
17,31,839600,35,17031839600,8396,35,DOUGLAS,8396,8396,839600,170318396001.00,28125,0
17,31,840000,60,17031840000,8400,60,BRIDGEPORT,8400,8400,840000,170318400002.00,108068,0
17,31,835600,37,17031835600,8356,37,FULLER PARK,8356,8356,835600,170318356002.00,24122,0
17,31,830800,4,17031830800,8308,4,LINCOLN SQUARE,8308,8308,830800,170318308003.00,63508,0
17,31,460301,46,17031460301,4603.01,46,SOUTH CHICAGO,4603.01,4603.01,460301,170314603012.00,32629,0
17,31,301701,30,17031301701,3017.01,30,SOUTH LAWNDALE,3017.01,3017.01,301701,170313017012.00,35762,0
17,31,310400,31,17031310400,3104,31,LOWER WEST SIDE,3104,3104,310400,170313104001.00,81618,0
17,31,530100,53,17031530100,5301,53,WEST PULLMAN,5301,5301,530100,170315301002.00,33712,0
17,31,81100,8,17031081100,811,8,NEAR NORTH SIDE,811,811,81100,170310811001.00,131250,p1s00124.jpg
17,31,150700,15,17031150700,1507,15,PORTAGE PARK,1507,1507,150700,170311507001.00,70625,0
17,31,640100,64,17031640100,6401,64,CLEARING,6401,6401,640100,170316401001.00,42895,0
17,31,81300,8,17031081300,813,8,NEAR NORTH SIDE,813,813,81300,170310813002.00,NaN,p1s00037.jpg
17,31,301702,30,17031301702,3017.02,30,SOUTH LAWNDALE,3017.02,3017.02,301702,170313017022.00,44100,0
17,31,700301,70,17031700301,7003.01,70,ASHBURN,7003.01,7003.01,700301,170317003013.00,78816,0
17,31,490902,49,17031490902,4909.02,49,ROSELAND,4909.02,4909.02,490902,170314909023.00,49583,0
17,31,490901,49,17031490901,4909.01,49,ROSELAND,4909.01,4909.01,490901,170314909012.00,38702,p1s00403.jpg
17,31,650302,65,17031650302,6503.02,65,WEST LAWN,6503.02,6503.02,650302,170316503022.00,48304,p1s00405.jpg
17,31,831900,6,17031831900,8319,6,LAKE VIEW,8319,8319,831900,170318319002.00,104750,0
17,31,830900,22,17031830900,8309,22,LOGAN SQUARE,8309,8309,830900,170318309003.00,67212,0
17,31,830700,3,17031830700,8307,3,UPTOWN,8307,8307,830700,170318307004.00,NaN,0
17,31,830600,1,17031830600,8306,1,ROGERS PARK,8306,8306,830600,170318306003.00,43222,0
17,31,700501,70,17031700501,7005.01,70,ASHBURN,7005.01,7005.01,700501,170317005015.00,63204,p1s00408.jpg
17,31,460302,46,17031460302,4603.02,46,SOUTH CHICAGO,4603.02,4603.02,460302,170314603023.00,29236,0
17,31,431302,43,17031431302,4313.02,43,SOUTH SHORE,4313.02,4313.02,431302,170314313022.00,31250,0
17,31,431301,43,17031431301,4313.01,43,SOUTH SHORE,4313.01,4313.01,431301,170314313011.00,30217,0
17,31,440101,44,17031440101,4401.01,44,CHATHAM,4401.01,4401.01,440101,170314401014.00,20313,0
17,31,301803,30,17031301803,3018.03,30,SOUTH LAWNDALE,3018.03,3018.03,301803,170313018032.00,31200,0
17,31,310200,31,17031310200,3102,31,LOWER WEST SIDE,3102,3102,310200,170313102001.00,77411,0
17,31,310300,31,17031310300,3103,31,LOWER WEST SIDE,3103,3103,310300,170313103001.00,51607,0
17,31,310500,31,17031310500,3105,31,LOWER WEST SIDE,3105,3105,310500,170313105001.00,45417,0
17,31,510300,51,17031510300,5103,51,SOUTH DEERING,5103,5103,510300,170315103004.00,29835,p1s00117.jpg
17,31,491400,49,17031491400,4914,49,ROSELAND,4914,4914,491400,170314914001.00,18382,0
